State,"Percent of patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their nurses ""Usually"" communicated well.","Percent of patients who reported that their nurses ""Always"" communicated well.","Percent of patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well.","Percent of patients who reported that their doctors ""Usually"" communicated well.","Percent of patients who reported that their doctors ""Always"" communicated well.","Percent of patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted.","Percent of patients who reported that they ""Usually"" received help as soon as they wanted.","Percent of patients who reported that they ""Always"" received help as soon as they wanted.","Percent of patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled.","Percent of patients who reported that their pain was ""Usually"" well controlled.","Percent of patients who reported that their pain was ""Always"" well controlled.","Percent of patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Usually"" explained about medicines before giving it to them.","Percent of patients who reported that staff ""Always"" explained about medicines before giving it to them.","Percent of patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean.","Percent of patients who reported that their room and bathroom were ""Usually"" clean.","Percent of patients who reported that their room and bathroom were ""Always"" clean.","Percent of patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night.","Percent of patients who reported that the area around their room was ""Usually"" quiet at night.","Percent of patients who reported that the area around their room was ""Always"" quiet at night.","Percent of patients who reported that YES,they were given information about what to do during their recovery at home.",Percent of patients who reported that they were not given information about what to do during their recovery at home.,Percent of patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest).,Percent of patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest).,"Percent of patients who reported NO,they would not recommend the hospital.","Percent of patients who reported YES,they would probably recommend the hospital.","Percent of patients who reported YES,they would definitely recommend the hospital."
AK,4%,19%,77%,4%,15%,81%,8%,24%,68%,6%,24%,70%,15%,18%,67%,8%,20%,72%,9%,32%,59%,86%,14%,8%,25%,67%,4%,25%,71%
AL,5%,15%,80%,3%,11%,86%,11%,21%,68%,8%,20%,72%,19%,15%,66%,11%,19%,70%,6%,23%,71%,82%,18%,8%,21%,71%,5%,25%,70%
AR,5%,17%,78%,4%,13%,83%,9%,24%,67%,7%,22%,71%,19%,18%,63%,9%,19%,72%,8%,26%,66%,81%,19%,9%,21%,70%,6%,25%,69%
AZ,5%,19%,76%,6%,17%,77%,9%,26%,65%,7%,23%,70%,20%,18%,62%,10%,20%,70%,12%,32%,56%,84%,16%,9%,22%,69%,6%,23%,71%
CA,7%,20%,73%,6%,16%,78%,13%,26%,61%,8%,24%,68%,22%,18%,60%,10%,20%,70%,17%,33%,50%,82%,18%,10%,23%,67%,7%,24%,69%
CO,4%,17%,79%,4%,15%,81%,7%,23%,70%,6%,23%,71%,17%,17%,66%,7%,19%,74%,7%,30%,63%,86%,14%,7%,19%,74%,4%,20%,76%
CT,4%,19%,77%,5%,16%,79%,11%,26%,63%,7%,23%,70%,20%,19%,61%,8%,20%,72%,15%,33%,52%,83%,17%,8%,24%,68%,5%,24%,71%
DC,10%,21%,69%,6%,17%,77%,20%,28%,52%,12%,24%,64%,25%,18%,57%,16%,24%,60%,15%,29%,56%,77%,23%,14%,27%,59%,10%,27%,63%
DE,4%,18%,78%,5%,16%,79%,10%,25%,65%,8%,22%,70%,21%,18%,61%,8%,21%,71%,16%,33%,51%,83%,17%,8%,24%,68%,5%,25%,70%
FL,7%,19%,74%,6%,17%,77%,14%,26%,60%,9%,24%,67%,24%,17%,59%,11%,20%,69%,13%,29%,58%,81%,19%,11%,24%,65%,8%,24%,68%
GA,6%,16%,78%,4%,13%,83%,12%,23%,65%,8%,21%,71%,20%,17%,63%,10%,19%,71%,8%,27%,65%,82%,18%,9%,22%,69%,6%,25%,69%
HI,4%,20%,76%,5%,15%,80%,11%,25%,64%,7%,23%,70%,17%,20%,63%,6%,20%,74%,13%,34%,53%,82%,18%,9%,23%,68%,5%,25%,70%
IA,3%,16%,81%,3%,13%,84%,6%,23%,71%,5%,23%,72%,14%,20%,66%,5%,17%,78%,7%,29%,64%,86%,14%,6%,19%,75%,3%,22%,75%
ID,4%,17%,79%,4%,14%,82%,6%,22%,72%,6%,22%,72%,16%,18%,66%,6%,17%,77%,7%,29%,64%,88%,12%,6%,20%,74%,3%,22%,75%
IL,5%,17%,78%,4%,15%,81%,10%,25%,65%,7%,23%,70%,20%,18%,62%,9%,18%,73%,12%,30%,58%,84%,16%,9%,23%,68%,5%,26%,69%
IN,3%,17%,80%,4%,14%,82%,7%,23%,70%,5%,22%,73%,18%,18%,64%,7%,18%,75%,9%,31%,60%,85%,15%,7%,19%,74%,4%,22%,74%
KS,3%,16%,81%,3%,13%,84%,6%,22%,72%,5%,23%,72%,16%,18%,66%,7%,17%,76%,7%,28%,65%,85%,15%,5%,20%,75%,3%,21%,76%
KY,4%,16%,80%,4%,12%,84%,9%,23%,68%,7%,21%,72%,19%,17%,64%,8%,18%,74%,9%,28%,63%,84%,16%,8%,21%,71%,5%,25%,70%
LA,4%,13%,83%,3%,10%,87%,10%,18%,72%,7%,18%,75%,17%,15%,68%,9%,16%,75%,7%,20%,73%,83%,17%,7%,19%,74%,4%,21%,75%
MA,5%,16%,79%,5%,14%,81%,10%,24%,66%,7%,21%,72%,19%,17%,64%,8%,19%,73%,15%,33%,52%,87%,13%,8%,23%,69%,4%,22%,74%
MD,7%,18%,75%,6%,16%,78%,14%,27%,59%,9%,23%,68%,23%,18%,59%,13%,22%,65%,13%,31%,56%,82%,18%,10%,25%,65%,6%,27%,67%
ME,3%,15%,82%,3%,14%,83%,6%,22%,72%,5%,21%,74%,15%,17%,68%,5%,16%,79%,9%,32%,59%,88%,12%,6%,21%,73%,4%,20%,76%
MI,4%,17%,79%,4%,16%,80%,8%,23%,69%,6%,23%,71%,19%,18%,63%,9%,19%,72%,11%,31%,58%,86%,14%,7%,22%,71%,5%,24%,71%
MN,3%,18%,79%,3%,14%,83%,6%,22%,72%,5%,25%,70%,16%,19%,65%,6%,17%,77%,7%,29%,64%,86%,14%,6%,21%,73%,3%,24%,73%
MO,4%,18%,78%,4%,15%,81%,9%,25%,66%,7%,23%,70%,19%,19%,62%,9%,18%,73%,10%,30%,60%,85%,15%,9%,22%,69%,5%,26%,69%
MS,5%,15%,80%,4%,10%,86%,11%,22%,67%,8%,19%,73%,21%,15%,64%,9%,18%,73%,7%,22%,71%,80%,20%,9%,22%,69%,6%,26%,68%
MT,6%,19%,75%,6%,15%,79%,10%,23%,67%,7%,25%,68%,18%,19%,63%,10%,17%,73%,9%,34%,57%,83%,17%,9%,25%,66%,5%,30%,65%
NC,4%,16%,80%,4%,13%,83%,9%,23%,68%,7%,22%,71%,18%,17%,65%,10%,19%,71%,8%,29%,63%,85%,15%,7%,22%,71%,5%,24%,71%
ND,4%,19%,77%,4%,17%,79%,7%,27%,66%,7%,25%,68%,17%,21%,62%,8%,20%,72%,10%,34%,56%,85%,15%,8%,25%,67%,4%,26%,70%
